Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,KCrater,Seed
54128,4964,2.55694e-05,0.990826,2.83886e-05,0.296138,0.234175,0.5,4.6,11.9,76.8,199.2,100,2642959719
54130,4981,2.53524e-05,0.990817,2.98057e-05,0.169503,0.223757,0.1,4.1,12.3,81.1,200.0,100,2642959719
54132,4859,2.54917e-05,0.990837,2.73829e-05,0.195596,0.258631,0.7,3.4,12.4,74.7,200.6,100,2642959719
54134,4954,2.51102e-05,0.99081,2.84229e-05,0.217985,0.253672,0.3,3.2,11.1,78.7,195.7,100,2642959719
54136,4937,2.58321e-05,0.990807,2.81486e-05,0.147509,0.25661,0.1,3.7,12.8,76.8,199.3,100,2642959719
54138,4976,2.6803e-05,0.990781,2.79543e-05,0.188343,0.232738,0.4,3.9,12.0,75.0,204.6,100,2642959719
54140,4967,2.56196e-05,0.990772,2.80686e-05,0.203965,0.224,0.4,4.4,11.7,78.3,193.7,100,2642959719
54142,4950,2.51925e-05,0.990731,2.86971e-05,0.132926,0.216373,0.2,3.6,13.7,74.4,200.0,100,2642959719
54144,4838,2.48452e-05,0.990746,2.86971e-05,0.153883,0.237671,0.1,4.3,13.5,75.1,205.3,100,2642959719
54146,4929,2.4546e-05,0.990641,2.91886e-05,0.120592,0.221434,0.2,3.0,12.9,81.8,202.9,100,2642959719
54148,4948,2.54483e-05,0.99058,2.92686e-05,0.137608,0.20993,0.1,3.7,12.1,78.7,204.9,100,2642959719
54150,4961,2.53204e-05,0.990633,2.77943e-05,0.298491,0.240658,0.5,4.9,10.7,72.3,195.7,100,2642959719
54152,4873,2.60126e-05,0.990722,2.71543e-05,0.240389,0.261988,0.5,4.2,11.2,75.8,191.2,100,2642959719
54154,4920,2.59737e-05,0.990699,2.864e-05,0.14015,0.241837,0.1,3.7,10.1,75.5,204.0,100,2642959719
54156,5005,2.56402e-05,0.990691,2.83543e-05,0.147174,0.26326,0.1,3.9,11.3,78.0,198.7,100,2642959719
54158,4940,2.53295e-05,0.990762,2.83314e-05,0.287553,0.241933,0.4,4.2,13.5,75.6,195.7,100,2642959719
54160,4924,2.52085e-05,0.990765,2.90971e-05,0.145196,0.199736,0.1,3.8,11.4,77.6,204.8,100,2642959719
54162,4928,2.57133e-05,0.990789,2.87314e-05,0.259163,0.234246,0.2,4.5,12.6,78.3,201.4,100,2642959719
54164,4949,2.66111e-05,0.990808,2.91429e-05,0.281406,0.206516,0.4,5.0,13.4,79.2,207.6,100,2642959719
54166,4945,2.64809e-05,0.990792,2.92229e-05,0.252062,0.236502,0.3,4.2,10.9,77.2,203.7,100,2642959719
54168,5009,2.596e-05,0.990785,2.79886e-05,0.145617,0.22589,0.0,3.5,13.9,77.7,199.4,100,2642959719
54170,4953,2.63187e-05,0.990797,2.824e-05,0.228196,0.238132,0.4,4.4,11.3,76.0,197.7,100,2642959719
54172,4975,2.4827e-05,0.990824,2.88343e-05,0.279114,0.235953,0.4,4.7,11.0,79.5,201.5,100,2642959719
54174,4967,2.57567e-05,0.990847,2.90857e-05,0.226941,0.220742,0.3,5.3,11.9,75.4,203.8,100,2642959719
54176,4913,2.51331e-05,0.990813,2.94057e-05,0.299606,0.223696,0.4,5.5,10.1,79.6,206.2,100,2642959719
54178,4938,2.5277e-05,0.990843,2.768e-05,0.162831,0.254464,0.1,4.5,11.0,77.5,199.9,100,2642959719
54180,4941,2.54163e-05,0.990787,2.90171e-05,0.166744,0.221985,0.1,5.0,12.5,77.3,201.5,100,2642959719
54182,4905,2.63301e-05,0.990861,2.864e-05,0.224756,0.253288,0.2,3.2,10.8,75.0,203.6,100,2642959719
54184,4948,2.48818e-05,0.990675,2.74743e-05,0.256457,0.25931,0.2,3.9,11.8,77.3,199.2,100,2642959719
54186,4951,2.62501e-05,0.990635,2.91429e-05,0.173876,0.228227,0.2,4.3,11.6,79.1,203.7,100,2642959719
54188,4974,2.54346e-05,0.990761,2.91314e-05,0.142414,0.234911,0.0,3.4,12.8,74.3,201.1,100,2642959719
54190,5000,2.60194e-05,0.990712,2.86514e-05,0.298902,0.225776,0.3,5.3,10.7,79.1,198.6,100,2642959719
54192,4979,2.58138e-05,0.990806,2.80686e-05,0.156147,0.248194,0.1,4.2,13.0,77.3,203.6,100,2642959719
54194,4926,2.55922e-05,0.990753,2.84343e-05,0.197226,0.247792,0.2,4.8,11.9,73.6,194.4,100,2642959719
54196,4944,2.5181e-05,0.990765,2.87086e-05,0.182373,0.238101,0.2,4.5,12.6,74.3,204.3,100,2642959719
54198,4975,2.60423e-05,0.99088,2.89371e-05,0.145825,0.22517,0.1,3.7,12.9,77.0,205.5,100,2642959719
54200,4933,2.55854e-05,0.990898,2.82629e-05,0.190656,0.229627,0.3,5.1,12.9,81.0,200.8,100,2642959719
54202,4964,2.59783e-05,0.990753,2.70171e-05,0.135454,0.252919,0.2,4.0,13.0,78.3,200.3,100,2642959719
54204,4901,2.62753e-05,0.9907,2.91771e-05,0.148974,0.241294,0.1,4.0,10.7,81.8,205.9,100,2642959719
54206,4907,2.5944e-05,0.990754,2.81829e-05,0.183645,0.251386,0.3,5.0,11.8,78.4,195.9,100,2642959719
54208,4994,2.59714e-05,0.990795,2.768e-05,0.170709,0.247366,0.1,4.8,11.6,71.8,201.0,100,2642959719
54210,4928,2.59829e-05,0.990709,2.84457e-05,0.19417,0.205589,0.2,5.1,11.7,75.5,195.5,100,2642959719
54212,4963,2.59098e-05,0.990648,2.83543e-05,0.242788,0.249438,0.2,4.0,11.1,74.9,202.7,100,2642959719
54214,4959,2.50508e-05,0.990748,2.85257e-05,0.284211,0.235414,0.4,5.3,12.5,75.8,202.1,100,2642959719
54216,4961,2.63027e-05,0.990836,2.90057e-05,0.153825,0.212366,0.3,3.9,10.9,76.1,203.8,100,2642959719
54218,4948,2.63575e-05,0.990737,2.89486e-05,0.245127,0.223126,0.3,4.5,11.8,75.0,202.7,100,2642959719
54220,4977,2.57407e-05,0.990718,2.92e-05,0.218343,0.246203,0.5,4.7,12.1,76.1,207.2,100,2642959719
54222,5010,2.5743e-05,0.99076,2.832e-05,0.156306,0.237638,0.1,4.4,13.1,78.1,196.6,100,2642959719
54224,4910,2.58024e-05,0.990625,2.77486e-05,0.129895,0.241602,0.1,4.1,12.9,76.3,199.3,100,2642959719
54226,4957,2.61611e-05,0.990657,2.87886e-05,0.210813,0.198446,0.4,4.6,12.9,80.4,199.9,100,2642959719
54228,5000,2.56927e-05,0.990641,2.82629e-05,0.146401,0.243927,0.2,3.8,11.3,73.7,204.2,100,2642959719
54230,4904,2.54575e-05,0.990615,2.86857e-05,0.155233,0.259625,0.1,4.9,11.5,77.1,197.7,100,2642959719
54232,4924,2.6024e-05,0.990668,2.79657e-05,0.136168,0.2529,0.1,3.8,11.4,76.3,199.4,100,2642959719
54234,4965,2.4683e-05,0.990682,2.90971e-05,0.181089,0.252203,0.3,4.4,11.3,76.1,199.7,100,2642959719
54236,4934,2.63484e-05,0.990696,2.90629e-05,0.157085,0.247035,0.2,4.2,12.2,77.1,202.1,100,2642959719
54238,4957,2.53958e-05,0.990672,2.93143e-05,0.232069,0.234089,0.4,5.9,10.6,75.9,202.8,100,2642959719
54240,4894,2.56722e-05,0.990763,2.86971e-05,0.144063,0.208849,0.0,4.7,11.8,82.1,205.4,100,2642959719
54242,5026,2.64466e-05,0.990763,2.856e-05,0.269893,0.235288,0.6,6.5,11.1,73.7,204.9,100,2642959719
54244,4983,2.56699e-05,0.990661,2.88229e-05,0.169409,0.24689,0.1,4.5,12.5,74.8,201.4,100,2642959719
54246,4949,2.559e-05,0.99075,2.856e-05,0.27395,0.227021,0.3,3.7,13.2,83.0,194.2,100,2642959719
54248,4979,2.6008e-05,0.990777,2.888e-05,0.333474,0.230176,0.6,4.3,13.3,74.9,207.1,100,2642959719
54250,4962,2.53524e-05,0.990651,2.86971e-05,0.411095,0.219648,0.6,4.9,11.5,80.6,200.7,100,2642959719
54252,4872,2.47424e-05,0.990708,2.87543e-05,0.324822,0.233874,0.6,4.7,11.7,75.7,202.0,100,2642959719
54254,4977,2.52267e-05,0.990651,2.94743e-05,0.28367,0.226297,0.4,4.5,12.1,77.3,203.3,100,2642959719
54256,4954,2.53432e-05,0.990546,2.80343e-05,0.105958,0.252342,0.1,3.5,10.6,74.6,204.3,100,2642959719
54258,5013,2.51651e-05,0.99052,2.86971e-05,0.266887,0.238247,0.2,4.3,11.5,73.4,204.5,100,2642959719
54260,4947,2.55877e-05,0.990618,2.86286e-05,0.177117,0.220781,0.2,4.1,12.0,73.9,197.1,100,2642959719
54262,4938,2.53478e-05,0.99054,2.88571e-05,0.404769,0.21152,0.5,4.7,11.6,74.3,201.4,100,2642959719
54264,4938,2.54689e-05,0.990542,2.75657e-05,0.198244,0.246739,0.2,5.4,11.6,74.3,201.0,100,2642959719
54266,4911,2.59349e-05,0.990634,2.768e-05,0.304516,0.2451,0.4,4.7,11.5,73.5,201.1,100,2642959719
54268,4922,2.60286e-05,0.990625,2.79314e-05,0.104756,0.22638,0.0,3.7,11.8,73.2,195.8,100,2642959719
54270,4927,2.54826e-05,0.990596,2.84686e-05,0.14063,0.227639,0.1,3.7,12.3,77.4,201.3,100,2642959719
54272,4948,2.54003e-05,0.990591,2.90971e-05,0.193491,0.199021,0.3,4.6,11.0,78.3,205.7,100,2642959719
54274,4977,2.54529e-05,0.990609,2.89143e-05,0.352888,0.223425,0.5,4.0,12.7,74.8,202.0,100,2642959719
54276,4971,2.53318e-05,0.990541,2.89829e-05,0.181882,0.231047,0.2,5.0,13.1,79.1,201.1,100,2642959719
54278,4991,2.56585e-05,0.990508,2.79086e-05,0.172751,0.255542,0.2,4.3,11.3,77.1,198.3,100,2642959719
54280,4967,2.65768e-05,0.990572,2.81486e-05,0.152601,0.246414,0.1,3.9,12.2,77.3,199.6,100,2642959719
54282,4951,2.63415e-05,0.990574,2.89029e-05,0.213972,0.229663,0.3,5.5,10.2,78.7,205.3,100,2642959719
54284,4976,2.59737e-05,0.990573,2.87886e-05,0.149428,0.243901,0.1,4.3,11.9,76.1,204.2,100,2642959719
54286,4923,2.57955e-05,0.99055,2.85029e-05,0.277192,0.236622,0.3,3.9,12.7,75.3,202.4,100,2642959719
54288,4971,2.54575e-05,0.990556,2.83771e-05,0.215629,0.238645,0.4,4.7,11.3,79.4,197.6,100,2642959719
54290,4972,2.56927e-05,0.990621,2.81143e-05,0.266882,0.233111,0.3,3.4,12.1,79.3,203.8,100,2642959719
54292,4992,2.63278e-05,0.990609,2.83771e-05,0.233581,0.258325,0.5,4.4,11.6,78.8,201.2,100,2642959719
54294,4956,2.59966e-05,0.990512,2.95086e-05,0.284002,0.215724,0.4,4.3,12.5,76.8,207.5,100,2642959719
54296,4957,2.51034e-05,0.990415,2.94286e-05,0.140894,0.202723,0.1,3.8,12.1,76.4,202.6,100,2642959719
54298,4962,2.61816e-05,0.990434,2.77943e-05,0.278836,0.249405,0.4,4.5,12.6,73.1,199.1,100,2642959719
54300,4923,2.59966e-05,0.990562,2.85257e-05,0.153767,0.238704,0.2,4.4,11.3,78.7,202.8,100,2642959719
54302,4915,2.54506e-05,0.990498,2.90057e-05,0.207466,0.199466,0.2,5.2,13.3,74.1,203.8,100,2642959719
54304,4932,2.50417e-05,0.990399,2.93829e-05,0.198988,0.236914,0.3,5.6,14.0,76.6,198.5,100,2642959719
54306,4989,2.58641e-05,0.990376,2.89486e-05,0.280096,0.243481,0.2,5.2,12.6,77.9,198.0,100,2642959719
54308,4954,2.58275e-05,0.99037,2.848e-05,0.417317,0.222354,0.5,5.0,12.0,76.0,198.5,100,2642959719
54310,4931,2.62387e-05,0.990388,2.91771e-05,0.297348,0.212354,0.2,5.1,12.9,77.7,192.2,100,2642959719
